"","PCode","REGION","DISTRICT","Code_CSREF","STRUCTURE","PCODE2","TYPE","DATE OUVERTURE","NBRE VILLAGE","DISTANCE","ACCESSIBILITE","Source","obs","X2","Y2","Y3"
"1021","ML04R06C020","SEGOU","NIONO","ML04R06","POGO","ML04R06C020","CSCOM","1997",21,60,"OUI","OMS Survey",NA,-5.9101689,13.898722348,NA
"1022","ML05R06C017","MOPTI","KORO","ML05R06","POMORODODIOU","ML05R06C017","CSCOM","1994",10,12,"OUI","OMS Survey",NA,-3.08610999971,14.1624100003,NA
"1023","ML05R08C007","MOPTI","YOUWAROU","ML05R08","QUIDIO","ML05R08C007","CSCOM","1999",16,35,"OUI","OMS Survey",NA,-4.07582964858,15.3491933493,NA
"1024","ML06R03C011","TOMBOUCTOU","GOUNDAM","ML06R03","RAZELMA","ML06R03C011","CSCOM","2000",7,115,"OUI","OMS Survey",NA,-4.461007899,16.6024096,NA
"1025","ML02R07C013","KOULIKORO","KOLOKANI","ML02R07","SABOUGOU","ML02R07C013","CSCOM","1995",11,40,"OUI","OMS Survey",NA,-7.84123000006,13.3744199997,NA
"1026","ML01R01C033","KAYES","KAYES","ML01R01","SADIOLA","ML01R01C033","CSCOM","2000",16,80,"NON","OMS Survey",NA,-11.6904562807,13.8900442229,NA
"1027","ML02R09C010","KOULIKORO","OUELESSEBOUGOU","ML02R09","SAFE BOUGOULA","ML02R09C010","CSCOM","2006",11,56,"NON","OMS Survey",NA,-7.798707152,12.309367846,NA
"1028","ML02R06C036","KOULIKORO","KATI","ML02R06","SAFO","ML02R06C036","CSCOM","2003",14,50,"OUI","OMS Survey",NA,-7.920805152,12.768681597,NA
"1029","ML02R07C014","KOULIKORO","KOLOKANI","ML02R07","SAGABALA","ML02R07C014","CSCOM","2005",8,74,"NON","OMS Survey",NA,-8.102093027,14.084426973,NA
"1030","ML01R05C032","KAYES","KITA","ML01R05","SAGABARI","ML01R05C032","CSCOM","2009",12,90,"NON","OMS Survey",NA,-9.803815279,12.583041722,NA
"1031","ML04R05C011","SEGOU","MARKALA","ML04R05","SAGALA","ML04R05C011","CSCOM","2007",9,198,"OUI","OMS Survey",NA,-6.09783999965,13.80057,NA
"1032","ML01R04C016","KAYES","KENIEBA","ML01R04","SAGALO","ML01R04C016","CSCOM","1995",10,135,"OUI","OMS Survey",NA,-10.69864578,12.195573846,NA
"1033","ML05R08C008","MOPTI","YOUWAROU","ML05R08","SAH","ML05R08C008","CSCOM","1999",30,50,"OUI","OMS Survey",NA,-4.049390899,15.62128935,NA
"1034",NA,"SEGOU","Segou",NA,"SAKOIBA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-6.28041,13.308925,NA
"1035","ML03R02C030","SIKASSO","BOUGOUNI","ML03R02","SAKORO","ML03R02C030","CSCOM","2005",7,25,"OUI","OMS Survey",NA,-7.614,11.52,NA
"1036",NA,"TOMBOUCTOU","Dire",NA,"SALAKOÏRA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-3.460814,16.054571,NA
"1037","ML02R05C010","KOULIKORO","KANGABA","ML02R05","SALAMALE","ML02R05C010","CSCOM","2002",1,1,"OUI","OMS Survey",NA,-8.61580000021,11.8507400002,NA
"1038",NA,"MOPTI","BANKASS","ML05R03","SAMA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition","Present dans 2 commune du meme cercle ankas",NA,NA,NA
"1039","ML04R01C019","SEGOU","SEGOU","ML04R01","SAMA FOULALA","ML04R01C019","CSCOM","2002",8,136,"OUI","OMS Survey",NA,-6.509166776,13.382778222,NA
"1040","ML04R03C020","SEGOU","BLA","ML04R03","SAMABOGO","ML04R03C020","CSCOM","2000",5,37,"OUI","OMS Survey",NA,-5.499722025,12.852777472,NA
"1041","ML02R02C013","KOULIKORO","BANAMBA","ML02R02","SAMAKELE","ML02R02C013","CSCOM","2006",11,15,"OUI","OMS Survey",NA,-7.566433652,13.567058348,NA
"1042","ML02R07C015","KOULIKORO","KOLOKANI","ML02R07","SAMANTARA","ML02R07C015","CSCOM","2011",7,120,"OUI","OMS Survey",NA,-8.6273199999,14.1224500002,NA
"1043","ML01R07C021","KAYES","YELIMANE","ML01R07","SAMBAGA","ML01R07C021","CSCOM","2005",1,20,"OUI","OMS Survey",NA,-10.6987847771,15.093951282,NA
"1044","ML01R06C015","KAYES","NIORO","ML01R06","SAMBAGORE","ML01R06C015","CSCOM","2008",5,52,"NON","OMS Survey",NA,-9.91264999989,15.1707699998,NA
"1045","ML04R03C021","SEGOU","BLA","ML04R03","SAMBALA","ML04R03C021","CSCOM","1998",7,20,"OUI","OMS Survey",NA,-5.6961800003,13.0853200001,NA
"1046","ML01R01C034","KAYES","KAYES","ML01R01","SAME - KAYES","ML01R01C034","CSCOM","1996",12,15,"OUI","OMS Survey",NA,-11.569722156,14.485833223,NA
"1047","ML04R01C020","SEGOU","SEGOU","ML04R01","SAMINE","ML04R01C020","CSCOM","2002",7,45,"NON","OMS Survey",NA,-6.086515275,13.131577847,NA
"1048","ML02R08C019","KOULIKORO","NARA","ML02R08","SAMPAGA","ML02R08C019","CSCOM","2006",8,135,"OUI","OMS Survey",NA,-7.70862999988,15.2582299999,NA
"1049","ML05R01C014","MOPTI","MOPTI","ML05R01","SAMPARA","ML05R01C014","CSCOM","2003",24,34,"OUI","OMS Survey",NA,-4.047829274,14.700781974,NA
"1050","ML04R07C023","SEGOU","SAN","ML04R07","SAN CENTRAL","ML04R07C023","CSCOM","2006",11,2,"OUI","OMS Survey",NA,-4.897007649,13.299295722,NA
"1051","ML04R07C000","SEGOU","SAN","ML04R07","SAN CSREF","ML04R07C000","CSRef","2003",0,180,NA,"OMS Survey",NA,-4.897007649,13.299295722,NA
"1052","ML04R02C015","SEGOU","BAROUELI","ML04R02","SANANDO","ML04R02C015","CSCOM","2000",14,85,"OUI","OMS Survey",NA,-6.406547151,12.964042347,NA
"1053","ML02R06C037","KOULIKORO","KATI","ML02R06","SANANFARA","ML02R06C037","CSCOM","2002",1,5,"OUI","OMS Survey",NA,-8.0827900001,12.6835400001,NA
"1054","ML02R03C016","KOULIKORO","DIOILA","ML02R03","SANANKORO","ML02R03C016","CSCOM","2006",5,65,"OUI","OMS Survey",NA,-6.84463000028,12.00332,NA
"1055","ML02R06C038","KOULIKORO","KATI","ML02R06","SANANKOROBA","ML02R06C038","CSCOM","1999",19,50,"OUI","OMS Survey",NA,-7.937778027,12.398611097,NA
"1056","ML02R09C011","KOULIKORO","OUELESSEBOUGOU","ML02R09","SANANKORO-DJITOUMOU","ML02R09C011","CSCOM","2000",25,48,"NON","OMS Survey",NA,-7.58791000013,12.1414900002,NA
"1057","ML02R06C039","KOULIKORO","KATI","ML02R06","SANDAMA","ML02R06C039","CSCOM","2002",10,130,"OUI","OMS Survey",NA,-8.741787528,12.431858347,NA
"1058","ML01R06C016","KAYES","NIORO","ML01R06","SANDARE","ML01R06C016","CSCOM","1995",10,234,"OUI","OMS Survey",NA,-10.305296904,14.700742599,NA
"1059","ML01R05C033","KAYES","KITA","ML01R05","SANDIAMBOUGOU","ML01R05C033","CSCOM","1994",13,45,"NON","OMS Survey",NA,-9.33720999973,13.5042399999,NA
"1060","ML04R07C024","SEGOU","SAN","ML04R07","SANEKUY","ML04R07C024","CSCOM","2011",8,58,"OUI","OMS Survey",NA,-4.613354649,13.066374722,NA
"1061","ML04R08C012","SEGOU","TOMINIAN","ML04R08","SANEKUY","ML04R08C012","CSCOM","2003",16,27,"OUI","OMS Survey",NA,-4.613355,13.066375,NA
"1062","ML01R04C017","KAYES","KENIEBA","ML01R04","SANFAGADALA","ML01R04C017","CSCOM","2007",10,115,"OUI","OMS Survey",NA,-11.4831205305,13.5771547226,NA
"1063",NA,"KOULIKORO","Kati",NA,"SANGAREBOUGOU","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-7.93388888888888,12.6919444444444,NA
"1064","ML05R02C022","MOPTI","BANDIAGARA","ML05R02","SANGHA","ML05R02C022","CSCOM","1999",17,45,"OUI","OMS Survey",NA,-3.308204148,14.470131223,NA
"1065","ML03R06C032","SIKASSO","KOUTIALA","ML03R06","SANGUELA","ML03R06C032","CSCOM","2002",10,70,"NON","OMS Survey",NA,-5.28804915,11.998521096,NA
"1066","ML06R01C014","TOMBOUCTOU","TOMBOUCTOU","ML06R01","SANKORE","ML06R01C014","CSCOM","2011",4,0,"OUI","OMS Survey",NA,-3.007772523,16.766185351,NA
"1067","ML03R01C044","SIKASSO","SIKASSO","ML03R01","SANOUBOUGOU I","ML03R01C044","CSCOM","2005",3,0,"OUI","OMS Survey",NA,-5.659,11.3,NA
"1068","ML03R01C045","SIKASSO","SIKASSO","ML03R01","SANOUBOUGOU II","ML03R01C045","CSCOM","2005",5,5,"OUI","OMS Survey",NA,-5.66078527448,11.3046334307,NA
"1069","ML04R05C012","SEGOU","MARKALA","ML04R05","SANSANDING","ML04R05C012","CSCOM","1996",10,15,"OUI","OMS Survey",NA,-5.82899999969,13.7482099998,NA
"1070","ML01R03C019","KAYES","DIEMA","ML01R03","SANSANKIDE","ML01R03C019","CSCOM","2011",7,75,"NON","OMS Survey",NA,-9.96180402906,14.4208665984,NA
"1071","ML03R02C031","SIKASSO","BOUGOUNI","ML03R02","SANSO","ML03R02C031","CSCOM","1995",16,0,"OUI","OMS Survey",NA,-6.856979901,11.708640096,NA
"1072",NA,"SIKASSO","Yorosso",NA,"SANWA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-4.425068,12.559196,NA
"1073",NA,"SIKASSO","Kignan",NA,"SANZANA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-5.953255,11.221195,NA
"1074",NA,"SIKASSO","Kignan",NA,"SANZANA CONFESSIONNEL","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-5.953255,11.221195,NA
"1075","ML06R05C019","TOMBOUCTOU","NIAFUNKE","ML06R05","SARAFERE","ML06R05C019","CSCOM","2007",27,15,NA,"OMS Survey",NA,-3.699188648,15.82029885,NA
"1076","ML06R02C011","TOMBOUCTOU","DIRE","ML06R02","SAREYAMOU","ML06R02C011","CSCOM","2005",15,35,"NON","OMS Survey",NA,-3.235748773,16.0872651,NA
"1077","ML04R04C012","SEGOU","MACINA","ML04R04","SARRO","ML04R04C012","CSCOM","1995",43,45,"OUI","OMS Survey",NA,-5.24215265,13.716475973,NA
"1078","ML01R02C025","KAYES","OUSSOUBIDIAGNA","ML01R02","SAVANE","ML01R02C025","CSCOM","2010",5,187,"OUI","OMS Survey",NA,-10.02637,14.1270600004,NA
"1079","ML04R04C013","SEGOU","MACINA","ML04R04","SAYE","ML04R04C013","CSCOM","1995",23,75,"OUI","OMS Survey",NA,-4.996717899,13.825096723,NA
"1080","ML01R05C034","KAYES","KITA","ML01R05","SEBEKORO","ML01R05C034","CSCOM","1999",11,60,"OUI","OMS Survey",NA,-8.990402778,12.958378597,NA
"1081","ML02R07C016","KOULIKORO","KOLOKANI","ML02R07","SEBEKORO-KOLOKANI","ML02R07C016","CSCOM","1998",16,45,"NON","OMS Survey",NA,-8.381636653,13.689729098,NA
"1082","ML02R02C014","KOULIKORO","BANAMBA","ML02R02","SEBETE","ML02R02C014","CSCOM","2004",16,74,"NON","OMS Survey",NA,-7.146433276,14.030583223,NA
"1083","ML04R01C021","SEGOU","SEGOU","ML04R01","SEBOUGOU","ML04R01C021","CSCOM","2006",9,10,"OUI","OMS Survey",NA,-6.300833276,13.420277597,NA
"1084","ML01R05C035","KAYES","KITA","ML01R05","SEFETO","ML01R05C035","CSCOM","1999",3,190,"OUI","OMS Survey",NA,-9.827326529,14.137629848,NA
"1085","ML01R01C035","KAYES","KAYES","ML01R01","SEGALA","ML01R01C035","CSCOM","1996",7,60,"NON","OMS Survey",NA,-10.97162253,14.559258474,NA
"1086","ML04R01C022","SEGOU","SEGOU","ML04R01","SEGOU - COURA","ML04R01C022","CSCOM","1993",3,4,"OUI","OMS Survey",NA,-6.272323026,13.440436472,NA
"1087","ML04R01C000","SEGOU","SEGOU","ML04R01","SEGOU CSREF","ML04R01C000","CSRef","2004",0,600,NA,"OMS Survey",NA,-6.268655,13.44288,NA
"1088","ML05R03C016","MOPTI","BANKASS","ML05R03","SEGUE","ML05R03C016","CSCOM","2009",17,55,"OUI","OMS Survey",NA,-3.751453648,13.842500473,NA
"1089","ML02R07C017","KOULIKORO","KOLOKANI","ML02R07","SEGUE-KOLOKANI","ML02R07C017","CSCOM","1997",9,65,"OUI","OMS Survey",NA,-8.20887000011,14.2309099999,NA
"1090",NA,"KOULIKORO","Koulikoro",NA,"SEGUELA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-6.894048,13.393053,NA
"1091","ML04R02C016","SEGOU","BAROUELI","ML04R02","SEGUELA","ML04R02C016","CSCOM","2000",9,30,"OUI","OMS Survey",NA,-6.92921,13.1998500004,NA
"1092",NA,"SEGOU","Segou",NA,"SEKORO","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-6.352139,13.393893,NA
"1093",NA,"KAYES","KENIEBA",NA,"SEKOTOBA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-10.945931,12.743366,NA
"1094","ML02R05C011","KOULIKORO","KANGABA","ML02R05","SELEFOUGOU","ML02R05C011","CSCOM","2002",5,35,"NON","OMS Survey",NA,-8.339385153,11.740562596,NA
"1095","ML01R01C036","KAYES","KAYES","ML01R01","SELIFELY","ML01R01C036","CSCOM","2000",2,150,"OUI","OMS Survey",NA,-11.7103677807,15.4768442244,NA
"1096","ML03R07C000","SIKASSO","SELINGUE","ML03R07","SELINGUE CSREF","ML03R07C000","CSRef",NA,NA,0,"OUI","OMS Survey",NA,-8.243447,11.641923,NA
"1097","ML01R02C026","KAYES","BAFOULABE","ML01R02","SELINKEGNI","ML01R02C026","CSCOM","1997",4,45,"OUI","OMS Survey",NA,-10.6426600001,13.9086299997,NA
"1098","ML05R01C015","MOPTI","MOPTI","ML05R01","SENDEGUE","ML05R01C015","CSCOM","2006",9,130,"OUI","OMS Survey",NA,-3.948192273,15.261195349,NA
"1099","ML05R07C016","MOPTI","TENENKOU","ML05R07","SENE BAMANA","ML05R07C016","CSCOM","2008",18,50,"NON","OMS Survey",NA,-5.10250000025,14.1345099999,NA
"1100",NA,"KAYES","Kita",NA,"SENKO","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-9.353975,12.808614,NA
"1101","ML05R04C014","MOPTI","DJENNE","ML05R04","SENOSSA","ML05R04C014","CSCOM","2004",9,10,"NON","OMS Survey",NA,-4.568888649,13.953611348,NA
"1102","ML02R03C017","KOULIKORO","DIOILA","ML02R03","SENOU","ML02R03C017","CSCOM","2004",12,45,"OUI","OMS Survey",NA,-6.938585026,12.142142846,NA
"1103","ML01R01C037","KAYES","KAYES","ML01R01","SERENATY","ML01R01C037","CSCOM","1999",5,85,"OUI","OMS Survey",NA,-11.7280166557,14.9145912239,NA
"1104","ML02R03C018","KOULIKORO","DIOILA","ML02R03","SERIBILA","ML02R03C018","CSCOM","2011",7,112,"OUI","OMS Survey",NA,-6.52257000033,12.0811799998,NA
"1105","ML02R07C018","KOULIKORO","KOLOKANI","ML02R07","SERIWALA","ML02R07C018","CSCOM","2011",15,16,"NON","OMS Survey",NA,-8.25321999996,13.5541400002,NA
"1106","ML01R01C038","KAYES","KAYES","ML01R01","SERO","ML01R01C038","CSCOM","2000",11,75,"NON","OMS Survey",NA,-11.0623809051,14.8100319738,NA
"1107","ML05R01C016","MOPTI","MOPTI","ML05R01","SEVARE II","ML05R01C016","CSCOM","2004",5,12,"OUI","OMS Survey",NA,-4.14266368713,14.5098602695,NA
"1108","ML05R01C017","MOPTI","MOPTI","ML05R01","SEVARE III","ML05R01C017","CSCOM","2003",4,15,"OUI","OMS Survey",NA,-4.29562999967,14.41165,NA
"1109","ML05R01C018","MOPTI","MOPTI","ML05R01","SEVERY PEULH","ML05R01C018","CSCOM","2002",10,36,"NON","OMS Survey",NA,-4.13995999996,14.8069900002,NA
"1110","ML02R04C017","KOULIKORO","FANA","ML02R04","SEYLA","ML02R04C017","CSCOM","1999",7,82,"OUI","OMS Survey",NA,-6.60745999967,12.6856399996,NA
"1111","ML01R06C017","KAYES","NIORO","ML01R06","SI0BI","ML01R06C017","CSCOM","2009",13,45,"NON","OMS Survey",NA,-9.682640654,14.905832849,NA
"1112","ML04R05C013","SEGOU","MARKALA","ML04R05","SIBILA","ML04R05C013","CSCOM","1996",15,35,"OUI","OMS Survey",NA,-5.8773794,13.775160598,NA
"1113","ML01R02C027","KAYES","OUSSOUBIDIAGNA","ML01R02","SIBINDY","ML01R02C027","CSCOM","1999",1,175,"OUI","OMS Survey",NA,-10.4530299996,14.5442000004,NA
"1114","ML03R01C046","SIKASSO","SIKASSO","ML03R01","SIBIRIFINA","ML03R01C046","CSCOM","1999",3,75,"OUI","OMS Survey",NA,-6.073,11.65,NA
"1115","ML02R06C040","KOULIKORO","KATI","ML02R06","SIBY","ML02R06C040","CSCOM","1996",15,15,"OUI","OMS Survey",NA,-8.333796028,12.375793596,NA
"1116","ML03R02C032","SIKASSO","BOUGOUNI","ML03R02","SIDO","ML03R02C032","CSCOM","1997",18,30,"OUI","OMS Survey",NA,-7.599190527,11.664766221,NA
"1117","ML03R07C005","SIKASSO","SELINGUE","ML03R07","SIEROROLE","ML03R07C005","CSCOM","2009",4,71,"OUI","OMS Survey",NA,-8.264016277,11.317992346,NA
"1118","ML03R01C000","SIKASSO","SIKASSO","ML03R01","SIKASSO CSREF","ML03R01C000","CSRef","1960",0,4,NA,"OMS Survey",NA,-5.66654,11.31755,NA
"1119","ML03R06C033","SIKASSO","KOUTIALA","ML03R06","SINCINA","ML03R06C033","CSCOM","1997",5,15,NA,"OMS Survey",NA,-5.43417000014,12.3516700001,NA
"1120","ML03R06C034","SIKASSO","KOUTIALA","ML03R06","SINKOLO","ML03R06C034","CSCOM","2006",1,46,"OUI","OMS Survey",NA,-5.55000015,12.087499596,NA
"1121","ML02R01C012","KOULIKORO","KOULIKORO","ML02R01","SINZANI","ML02R01C012","CSCOM","2004",7,1,"OUI","OMS Survey",NA,-7.43216000005,13.1709299997,NA
"1122","ML01R05C036","KAYES","KITA","ML01R05","SIRAKORO","ML01R05C036","CSCOM","2007",10,55,"OUI","OMS Survey",NA,-9.226947528,12.679691472,NA
"1123",NA,"KOULIKORO","Kati",NA,"SIRAKORO MEGUETANA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-7.368737,12.879283,NA
"1124","ML02R07C019","KOULIKORO","KOLOKANI","ML02R07","SIRAKOROBA","ML02R07C019","CSCOM","2005",5,55,"OUI","OMS Survey",NA,-7.67219000028,13.5306099996,NA
"1125","ML02R01C013","KOULIKORO","KOULIKORO","ML02R01","SIRAKOROBOUGOU","ML02R01C013","CSCOM","2001",10,140,"OUI","OMS Survey",NA,-7.12645000033,13.3997999997,NA
"1126","ML02R01C014","KOULIKORO","KOULIKORO","ML02R01","SIRAKOROLA","ML02R01C014","CSCOM","1995",33,55,"NON","OMS Survey",NA,-7.574523152,13.275290472,NA
"1127","ML04R01C023","SEGOU","SEGOU","ML04R01","SIRI0ANZO","ML04R01C023","CSCOM","2002",4,125,"OUI","OMS Survey",NA,-5.35753999996,13.3339700001,NA
"1128","ML04R06C021","SEGOU","NIONO","ML04R06","SIRIBALA","ML04R06C021","CSCOM","1994",24,30,"OUI","OMS Survey",NA,-6.068121775,14.036441348,NA
"1129",NA,"SEGOU","Segou",NA,"SIRIMANZO","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition","Non localise",NA,NA,NA
"1130","ML01R04C018","KAYES","KENIEBA","ML01R04","SITAKILY","ML01R04C018","CSCOM","2001",10,35,"OUI","OMS Survey",NA,-11.229005405,13.104699972,NA
"1131",NA,"KAYES","OUSSOUBIDIAGNA",NA,"SITAKOUROU","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-10.344716,14.598193,NA
"1132","ML01R05C037","KAYES","KITA","ML01R05","SITANINKOTO","ML01R05C037","CSCOM","2008",10,115,"OUI","OMS Survey",NA,-10.1785199997,12.45094,NA
"1133","ML05R01C019","MOPTI","MOPTI","ML05R01","SOCOURA","ML05R01C019","CSCOM","1997",17,3,"NON","OMS Survey",NA,-4.21957565907,14.5093510778,NA
"1134","ML05R04C015","MOPTI","DJENNE","ML05R04","SOFARA","ML05R04C015","CSCOM",NA,NA,NA,NA,"OMS Survey",NA,-4.315555524,13.935832973,NA
"1135","ML03R06C035","SIKASSO","KOUTIALA","ML03R06","SOGOMOUGOU","ML03R06C035","CSCOM","1999",1,0,"OUI","OMS Survey",NA,-5.466,12.3899999972,NA
"1136","ML04R05C014","SEGOU","MARKALA","ML04R05","SOKE","ML04R05C014","CSCOM","2005",11,0,"OUI","OMS Survey",NA,-5.82478000015,13.5872600002,NA
"1137","ML04R06C022","SEGOU","NIONO","ML04R06","SOKOLO","ML04R06C022","CSCOM","1994",11,75,"OUI","OMS Survey",NA,-6.1221559,14.732871474,NA
"1138","ML05R03C017","MOPTI","BANKASS","ML05R03","SOKOURA (ASACOSO)","ML05R03C017","CSCOM","1998",24,80,"OUI","OMS Survey",NA,-3.767162898,13.506128223,NA
"1139","ML05R01C020","MOPTI","MOPTI","ML05R01","SOMADOUGOU","ML05R01C020","CSCOM","1997",7,40,"OUI","OMS Survey",NA,-4.13416000038,14.2270500004,NA
"1140","ML01R01C039","KAYES","KAYES","ML01R01","SOMANKIDI","ML01R01C039","CSCOM","1998",8,25,"NON","OMS Survey",NA,-11.607777656,14.546667099,NA
"1141","ML04R03C022","SEGOU","BLA","ML04R03","SOMASSO","ML04R03C022","CSCOM","2005",5,34,"OUI","OMS Survey",NA,-5.5977339,12.862133597,NA
"1142","ML04R02C017","SEGOU","BAROUELI","ML04R02","SOMO-BAROUELI","ML04R02C017","CSCOM","2000",52,52,"OUI","OMS Survey",NA,-6.686591901,13.326166597,NA
"1143","ML04R07C025","SEGOU","SAN","ML04R07","SOMO-SAN","ML04R07C025","CSCOM","2003",3,20,"NON","OMS Survey",NA,-4.779751524,13.240131097,NA
"1144","ML05R02C023","MOPTI","BANDIAGARA","ML05R02","SONGHO","ML05R02C023","CSCOM","2006",8,13,"NON","OMS Survey",NA,-3.73742000017,14.5366400002,NA
"1145","ML02R06C041","KOULIKORO","KATI","ML02R06","SONIKEGNY","ML02R06C041","CSCOM","1998",12,0,"OUI","OMS Survey",NA,-8.03055000009,12.8942600001,NA
"1146","ML02R07C020","KOULIKORO","KOLOKANI","ML02R07","SONKENIE","ML02R07C020","CSCOM","2005",16,65,"OUI","OMS Survey",NA,-7.88950999992,13.8075400001,NA
"1147","ML03R06C036","SIKASSO","KOUTIALA","ML03R06","SOROBASSO","ML03R06C036","CSCOM","2005",4,35,"OUI","OMS Survey",NA,-5.25444465,12.519721972,NA
"1148","ML05R07C017","MOPTI","TENENKOU","ML05R07","SOSSOBE","ML05R07C017","CSCOM","1995",8144,35,"NON","OMS Survey",NA,-4.48686000035,14.5423800003,NA
"1149","ML07R01C018","GAO","GAO","ML07R01","SOSSOKOIRA","ML07R01C018","CSCOM","2011",1,4,"OUI","OMS Survey",NA,-0.0507847698287,16.2762197251,NA
"1150","ML08R01C012","BAMAKO","COMMUNE1","ML08R01","SOTUBA","ML08R01C012","CSCOM","1992",6,5,"OUI","OMS Survey",NA,-7.91939000006,12.6526800001,NA
"1151","ML05R04C016","MOPTI","DJENNE","ML05R04","SOUALA","ML05R04C016","CSCOM","2011",3,15,"OUI","OMS Survey",NA,-4.52972222211,13.7991666671,NA
"1152","ML04R01C024","SEGOU","SEGOU","ML04R01","SOUBA","ML04R01C024","CSCOM","2006",12,150,"NON","OMS Survey",NA,-6.598243776,13.4108750758,NA
"1153","ML05R03C018","MOPTI","BANKASS","ML05R03","SOUBALA","ML05R03C018","CSCOM","2006",10,30,"OUI","OMS Survey",NA,-3.501189898,13.861650473,NA
"1154","ML05R01C021","MOPTI","MOPTI","ML05R01","SOUFOUROULAYE","ML05R01C021","CSCOM","1996",8,26,"OUI","OMS Survey",NA,-4.084027899,14.401143348,NA
"1155","ML03R06C037","SIKASSO","KOUTIALA","ML03R06","SOUGOUMBA","ML03R06C037","CSCOM","1999",2,13,NA,"OMS Survey",NA,-5.18750000009,12.1725000003,NA
"1156","ML04R04C014","SEGOU","MACINA","ML04R04","SOULEY","ML04R04C014","CSCOM","1995",11,20,"NON","OMS Survey",NA,-5.2441829,13.876731223,NA
"1157","ML04R04C015","SEGOU","MACINA","ML04R04","SOUMOUNI","ML04R04C015","CSCOM","2010",5,30,"NON","OMS Survey",NA,-5.23444444407,14.1361111108,NA
"1158","ML06R05C020","TOMBOUCTOU","NIAFUNKE","ML06R05","SOUMPI","ML06R05C020","CSCOM","2004",8,54,"OUI","OMS Survey",NA,-4.322105649,15.84325985,NA
"1159","ML04R07C026","SEGOU","SAN","ML04R07","SOUROUNTOUNA","ML04R07C026","CSCOM","1998",27,35,"NON","OMS Survey",NA,-4.908768524,13.063763972,NA
"1160","ML05R01C022","MOPTI","MOPTI","ML05R01","SOYE","ML05R01C022","CSCOM","2006",22,0,"NON","OMS Survey",NA,-4.279263524,14.227266223,NA
"1161","ML05R04C015","MOPTI","DJENNE","ML05R04","SP0ARA","ML05R04C015","CSCOM","1994",38,0,"NON","OMS Survey",NA,-4.315555524,13.935832973,NA
"1162","ML04R07C027","SEGOU","SAN","ML04R07","SY","ML04R07C027","CSCOM","1998",11,1,"OUI","OMS Survey",NA,-4.980167899,13.598535098,NA
"1163","ML01R02C030","KAYES","BAFOULABE","ML01R02","T0ANTI0OU","ML01R02C030","CSCOM","2003",2,156,"OUI","OMS Survey",NA,-10.090147677,14.4455405025,NA
"1164","ML01R06C021","KAYES","NIORO","ML01R06","T0OUNGOUMBE","ML01R06C021","CSCOM","1998",4,52,"OUI","OMS Survey",NA,-9.229167028,15.264721849,NA
"1165","ML01R04C019","KAYES","KENIEBA","ML01R04","TABAKOTO","ML01R04C019","CSCOM","2008",3,15,"OUI","OMS Survey",NA,-11.2017357802,13.0015600971,NA
"1166","ML07R03C015","GAO","BOUREM","ML07R03","TABANKORT","ML07R03C015","CSCOM","2000",16,140,"OUI","OMS Survey",NA,0.0160899999383566,18.4708999998,NA
"1167","ML07R04C006","GAO","MENAKA","ML07R04","TABANKORT MENAKA","ML07R04C006","CSCOM","2002",12,85,"NON","OMS Survey",NA,1.62969999958858,15.5997000002,NA
"1168","ML07R03C016","GAO","BOUREM","ML07R03","TABOYE","ML07R03C016","CSCOM","1999",4,140,"OUI","OMS Survey",NA,-0.258611145,16.714721726,NA
"1169","ML07R01C019","GAO","GAO","ML07R01","TACHARANE","ML07R01C019","CSCOM","2000",5,25,"OUI","OMS Survey",NA,0.0717080160406984,16.1517059709,NA
"1170","ML05R05C015","MOPTI","DOUENTZA","ML05R05","TACOUTI","ML05R05C015","CSCOM","2003",5,165,"OUI","OMS Survey",NA,-3.39533000022,15.5333599996,NA
"1171","ML01R01C040","KAYES","KAYES","ML01R01","TAFACIRGA","ML01R01C040","CSCOM","1998",7,92,"NON","OMS Survey",NA,-12.189436531,14.754325599,NA
"1172","ML05R04C017","MOPTI","DJENNE","ML05R04","TAGA","ML05R04C017","CSCOM","1994",16,1,"NON","OMS Survey",NA,-4.398900524,13.966351223,NA
"1173","ML07R04C007","GAO","MENAKA","ML07R04","TAGALALT","ML07R04C007","CSCOM","2004",10,160,"OUI","OMS Survey",NA,3.14426999985119,15.6000099997,NA
"1174","ML03R07C006","SIKASSO","SELINGUE","ML03R07","TAGAN","ML03R07C006","CSCOM","1998",11,40,"OUI","OMS Survey",NA,-8.332,11.47,NA
